onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
436.0	59.0	epochs	1.0	0.32	180.0	0.8
526.0	60.0	epochs	1.0	0.02	270.0	0.8
617.0	59.0	epochs	4.0	0.32	90.0	0.8
707.0	60.0	epochs	1.0	0.04	270.0	0.8
798.0	60.0	epochs	2.0	0.16	180.0	0.8
888.0	60.0	epochs	1.0	0.32	90.0	0.8
979.0	60.0	epochs	0.5	0.02	180.0	0.8
1069.0	60.0	epochs	4.0	0.16	270.0	0.8
1160.0	60.0	epochs	4.0	0.08	0.0	0.8
1250.0	60.0	epochs	8.0	0.16	90.0	0.8
1341.0	60.0	epochs	2.0	0.02	270.0	0.8
1431.0	60.0	epochs	0.5	0.32	0.0	0.8
1522.0	60.0	epochs	0.5	0.02	270.0	0.8
1612.0	60.0	epochs	8.0	0.02	180.0	0.8
1703.0	60.0	epochs	2.0	0.08	0.0	0.8
1794.0	59.0	epochs	8.0	0.32	90.0	0.8
1884.0	60.0	epochs	1.0	0.08	0.0	0.8
1975.0	59.0	epochs	8.0	0.16	270.0	0.8
2065.0	60.0	epochs	4.0	0.08	270.0	0.8
2156.0	60.0	epochs	2.0	0.32	180.0	0.8
2246.0	60.0	epochs	1.0	0.02	180.0	0.8
2337.0	60.0	epochs	8.0	0.08	180.0	0.8
2427.0	60.0	epochs	1.0	0.08	0.0	0.8
2518.0	60.0	epochs	4.0	0.16	270.0	0.8
2608.0	60.0	epochs	8.0	0.04	0.0	0.8
2699.0	60.0	epochs	0.5	0.04	180.0	0.8
2789.0	60.0	epochs	8.0	0.32	0.0	0.8
2880.0	60.0	epochs	2.0	0.04	270.0	0.8
2970.0	60.0	epochs	2.0	0.16	90.0	0.8
3061.0	60.0	epochs	8.0	0.02	90.0	0.8
3151.0	60.0	epochs	4.0	0.16	270.0	0.8
3242.0	60.0	epochs	8.0	0.16	270.0	0.8
3333.0	59.0	epochs	4.0	0.32	0.0	0.8
3423.0	60.0	epochs	1.0	0.04	90.0	0.8
3514.0	59.0	epochs	1.0	0.04	270.0	0.8
3604.0	60.0	epochs	4.0	0.02	270.0	0.8
3695.0	60.0	epochs	4.0	0.32	0.0	0.8
3785.0	60.0	epochs	8.0	0.04	90.0	0.8
3876.0	60.0	epochs	1.0	0.08	0.0	0.8
3966.0	60.0	epochs	8.0	0.32	90.0	0.8
4057.0	60.0	epochs	2.0	0.32	270.0	0.8
4147.0	60.0	epochs	8.0	0.16	270.0	0.8
4238.0	60.0	epochs	0.5	0.02	0.0	0.8
4328.0	60.0	epochs	1.0	0.16	180.0	0.8
4419.0	60.0	epochs	8.0	0.16	0.0	0.8
4509.0	60.0	epochs	0.5	0.02	0.0	0.8
4600.0	60.0	epochs	2.0	0.04	0.0	0.8
4690.0	60.0	epochs	1.0	0.16	90.0	0.8
4781.0	60.0	epochs	0.5	0.16	0.0	0.8
4872.0	59.0	epochs	0.5	0.04	270.0	0.8
4962.0	60.0	epochs	1.0	0.32	90.0	0.8
5053.0	59.0	epochs	2.0	0.02	270.0	0.8
5143.0	60.0	epochs	8.0	0.32	270.0	0.8
5234.0	60.0	epochs	4.0	0.04	180.0	0.8
5324.0	60.0	epochs	4.0	0.02	180.0	0.8
5415.0	60.0	epochs	4.0	0.04	90.0	0.8
5505.0	60.0	epochs	8.0	0.16	180.0	0.8
5596.0	60.0	epochs	8.0	0.04	270.0	0.8
5686.0	60.0	epochs	8.0	0.16	270.0	0.8
5777.0	60.0	epochs	2.0	0.08	0.0	0.8
5867.0	60.0	epochs	0.5	0.02	90.0	0.8
5958.0	60.0	epochs	1.0	0.32	270.0	0.8
6048.0	60.0	epochs	2.0	0.08	0.0	0.8
6139.0	60.0	epochs	2.0	0.32	0.0	0.8
6229.0	60.0	epochs	4.0	0.16	0.0	0.8
6320.0	60.0	epochs	8.0	0.04	180.0	0.8
6411.0	59.0	epochs	0.5	0.32	90.0	0.8
6501.0	60.0	epochs	0.5	0.32	180.0	0.8
6592.0	59.0	epochs	2.0	0.16	90.0	0.8
6682.0	60.0	epochs	0.5	0.32	270.0	0.8
