onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
434.0	60.0	epochs	8.0	0.04	90.0	0.8
525.0	60.0	epochs	4.0	0.02	0.0	0.8
615.0	60.0	epochs	4.0	0.32	180.0	0.8
706.0	60.0	epochs	4.0	0.32	270.0	0.8
797.0	59.0	epochs	2.0	0.02	0.0	0.8
887.0	60.0	epochs	8.0	0.02	0.0	0.8
978.0	59.0	epochs	8.0	0.04	180.0	0.8
1068.0	60.0	epochs	0.5	0.04	90.0	0.8
1159.0	59.0	epochs	8.0	0.08	90.0	0.8
1249.0	60.0	epochs	1.0	0.16	90.0	0.8
1340.0	59.0	epochs	2.0	0.16	0.0	0.8
1430.0	60.0	epochs	0.5	0.08	270.0	0.8
1521.0	60.0	epochs	8.0	0.02	0.0	0.8
1611.0	60.0	epochs	1.0	0.16	180.0	0.8
1702.0	60.0	epochs	0.5	0.16	180.0	0.8
1792.0	60.0	epochs	4.0	0.08	180.0	0.8
1883.0	60.0	epochs	2.0	0.08	90.0	0.8
1973.0	60.0	epochs	2.0	0.04	0.0	0.8
2064.0	60.0	epochs	1.0	0.04	90.0	0.8
2154.0	60.0	epochs	8.0	0.04	0.0	0.8
2245.0	60.0	epochs	2.0	0.04	180.0	0.8
2335.0	60.0	epochs	0.5	0.32	180.0	0.8
2426.0	60.0	epochs	8.0	0.32	0.0	0.8
2516.0	60.0	epochs	4.0	0.08	270.0	0.8
2607.0	60.0	epochs	0.5	0.04	180.0	0.8
2697.0	60.0	epochs	4.0	0.16	270.0	0.8
2788.0	60.0	epochs	4.0	0.16	0.0	0.8
2879.0	59.0	epochs	4.0	0.32	90.0	0.8
2969.0	60.0	epochs	4.0	0.02	90.0	0.8
3060.0	59.0	epochs	4.0	0.16	180.0	0.8
3150.0	60.0	epochs	1.0	0.04	0.0	0.8
3241.0	59.0	epochs	4.0	0.08	90.0	0.8
3331.0	60.0	epochs	1.0	0.16	90.0	0.8
3422.0	59.0	epochs	2.0	0.16	0.0	0.8
