onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
447.0	60.0	epochs	2.0	0.02	90.0	0.8
537.0	60.0	epochs	4.0	0.16	180.0	0.8
627.0	60.0	epochs	2.0	0.32	180.0	0.8
718.0	59.0	epochs	0.5	0.04	270.0	0.8
808.0	60.0	epochs	0.5	0.32	180.0	0.8
898.0	60.0	epochs	8.0	0.16	270.0	0.8
989.0	59.0	epochs	0.5	0.08	90.0	0.8
1079.0	60.0	epochs	1.0	0.08	90.0	0.8
1169.0	60.0	epochs	1.0	0.08	270.0	0.8
1260.0	59.0	epochs	2.0	0.08	270.0	0.8
1350.0	60.0	epochs	1.0	0.02	0.0	0.8
1440.0	60.0	epochs	4.0	0.32	90.0	0.8
1531.0	59.0	epochs	8.0	0.08	180.0	0.8
1621.0	60.0	epochs	4.0	0.02	270.0	0.8
1711.0	60.0	epochs	8.0	0.02	270.0	0.8
1801.0	60.0	epochs	4.0	0.08	180.0	0.8
1892.0	59.0	epochs	4.0	0.08	90.0	0.8
1982.0	60.0	epochs	0.5	0.16	90.0	0.8
2072.0	60.0	epochs	8.0	0.32	0.0	0.8
2163.0	59.0	epochs	0.5	0.32	0.0	0.8
2253.0	60.0	epochs	2.0	0.04	90.0	0.8
2343.0	60.0	epochs	2.0	0.08	90.0	0.8
2434.0	59.0	epochs	4.0	0.04	270.0	0.8
2524.0	60.0	epochs	4.0	0.08	180.0	0.8
2614.0	60.0	epochs	2.0	0.04	270.0	0.8
2705.0	59.0	epochs	0.5	0.04	180.0	0.8
2795.0	60.0	epochs	4.0	0.32	0.0	0.8
2885.0	60.0	epochs	1.0	0.08	0.0	0.8
2976.0	59.0	epochs	1.0	0.02	270.0	0.8
3066.0	60.0	epochs	8.0	0.02	180.0	0.8
3156.0	60.0	epochs	4.0	0.04	270.0	0.8
3246.0	60.0	epochs	0.5	0.16	90.0	0.8
3337.0	59.0	epochs	1.0	0.32	180.0	0.8
3427.0	60.0	epochs	0.5	0.16	180.0	0.8
3517.0	60.0	epochs	1.0	0.04	0.0	0.8
3608.0	59.0	epochs	0.5	0.32	90.0	0.8
3698.0	60.0	epochs	4.0	0.32	270.0	0.8
3788.0	60.0	epochs	0.5	0.16	270.0	0.8
3879.0	59.0	epochs	4.0	0.04	180.0	0.8
3969.0	60.0	epochs	1.0	0.04	0.0	0.8
4059.0	60.0	epochs	8.0	0.32	270.0	0.8
4150.0	59.0	epochs	2.0	0.16	270.0	0.8
4240.0	60.0	epochs	4.0	0.02	180.0	0.8
4330.0	60.0	epochs	4.0	0.16	90.0	0.8
4420.0	60.0	epochs	8.0	0.02	0.0	0.8
4511.0	60.0	epochs	2.0	0.04	180.0	0.8
4601.0	60.0	epochs	2.0	0.08	270.0	0.8
4691.0	60.0	epochs	2.0	0.04	270.0	0.8
4782.0	59.0	epochs	2.0	0.02	180.0	0.8
4872.0	60.0	epochs	2.0	0.02	180.0	0.8
4962.0	60.0	epochs	8.0	0.16	180.0	0.8
5053.0	59.0	epochs	2.0	0.16	90.0	0.8
5143.0	60.0	epochs	2.0	0.32	90.0	0.8
5233.0	60.0	epochs	1.0	0.04	90.0	0.8
5324.0	59.0	epochs	2.0	0.08	90.0	0.8
5414.0	60.0	epochs	1.0	0.08	0.0	0.8
5504.0	60.0	epochs	0.5	0.16	90.0	0.8
5595.0	59.0	epochs	8.0	0.04	90.0	0.8
5685.0	60.0	epochs	8.0	0.08	90.0	0.8
5775.0	60.0	epochs	4.0	0.04	270.0	0.8
5865.0	60.0	epochs	4.0	0.16	0.0	0.8
5956.0	59.0	epochs	4.0	0.04	90.0	0.8
6046.0	60.0	epochs	8.0	0.08	90.0	0.8
6136.0	60.0	epochs	1.0	0.08	180.0	0.8
6227.0	59.0	epochs	2.0	0.16	180.0	0.8
6317.0	60.0	epochs	4.0	0.32	270.0	0.8
6407.0	60.0	epochs	1.0	0.32	180.0	0.8
6498.0	59.0	epochs	2.0	0.04	270.0	0.8
6588.0	60.0	epochs	0.5	0.04	180.0	0.8
6678.0	60.0	epochs	0.5	0.02	180.0	0.8
6769.0	59.0	epochs	2.0	0.16	270.0	0.8
6859.0	60.0	epochs	0.5	0.02	90.0	0.8
6949.0	60.0	epochs	8.0	0.04	270.0	0.8
7039.0	60.0	epochs	1.0	0.04	270.0	0.8
7130.0	60.0	epochs	1.0	0.08	90.0	0.8
7220.0	60.0	epochs	4.0	0.08	180.0	0.8
7310.0	60.0	epochs	0.5	0.32	90.0	0.8
7401.0	59.0	epochs	0.5	0.16	270.0	0.8
7491.0	60.0	epochs	4.0	0.08	0.0	0.8
7581.0	60.0	epochs	1.0	0.08	180.0	0.8
7672.0	59.0	epochs	4.0	0.16	0.0	0.8
7762.0	60.0	epochs	4.0	0.02	180.0	0.8
7852.0	60.0	epochs	8.0	0.08	270.0	0.8
7943.0	59.0	epochs	8.0	0.02	0.0	0.8
8033.0	60.0	epochs	8.0	0.08	0.0	0.8
8123.0	60.0	epochs	2.0	0.08	0.0	0.8
8214.0	59.0	epochs	0.5	0.16	180.0	0.8
8304.0	60.0	epochs	0.5	0.02	270.0	0.8
8394.0	60.0	epochs	2.0	0.02	90.0	0.8
8484.0	60.0	epochs	1.0	0.08	270.0	0.8
8575.0	59.0	epochs	8.0	0.16	270.0	0.8
8665.0	60.0	epochs	8.0	0.04	90.0	0.8
8755.0	60.0	epochs	2.0	0.32	90.0	0.8
8846.0	59.0	epochs	1.0	0.02	90.0	0.8
8936.0	60.0	epochs	1.0	0.32	270.0	0.8
9026.0	60.0	epochs	1.0	0.16	90.0	0.8
9117.0	59.0	epochs	1.0	0.32	270.0	0.8
9207.0	60.0	epochs	4.0	0.32	0.0	0.8
9297.0	60.0	epochs	0.5	0.02	180.0	0.8
9388.0	59.0	epochs	1.0	0.32	270.0	0.8
9478.0	60.0	epochs	8.0	0.32	0.0	0.8
9568.0	60.0	epochs	4.0	0.08	270.0	0.8
9659.0	59.0	epochs	4.0	0.04	270.0	0.8
9749.0	60.0	epochs	8.0	0.16	90.0	0.8
9839.0	60.0	epochs	4.0	0.08	270.0	0.8
9929.0	60.0	epochs	8.0	0.32	270.0	0.8
10020.0	59.0	epochs	2.0	0.16	180.0	0.8
10110.0	60.0	epochs	2.0	0.02	270.0	0.8
10200.0	60.0	epochs	0.5	0.32	180.0	0.8
10291.0	59.0	epochs	2.0	0.32	0.0	0.8
10381.0	60.0	epochs	8.0	0.16	0.0	0.8
10471.0	60.0	epochs	4.0	0.04	0.0	0.8
10562.0	59.0	epochs	0.5	0.08	0.0	0.8
10652.0	60.0	epochs	4.0	0.16	0.0	0.8
10742.0	60.0	epochs	0.5	0.08	270.0	0.8
10833.0	59.0	epochs	8.0	0.16	0.0	0.8
10923.0	60.0	epochs	2.0	0.08	180.0	0.8
11013.0	60.0	epochs	0.5	0.08	270.0	0.8
11103.0	60.0	epochs	0.5	0.32	180.0	0.8
11194.0	59.0	epochs	0.5	0.04	270.0	0.8
11284.0	60.0	epochs	4.0	0.02	90.0	0.8
11374.0	60.0	epochs	2.0	0.04	90.0	0.8
11465.0	59.0	epochs	4.0	0.32	180.0	0.8
11555.0	60.0	epochs	2.0	0.32	270.0	0.8
11645.0	60.0	epochs	8.0	0.02	180.0	0.8
11736.0	59.0	epochs	0.5	0.04	90.0	0.8
11826.0	60.0	epochs	1.0	0.04	0.0	0.8
11916.0	60.0	epochs	2.0	0.16	0.0	0.8
12007.0	59.0	epochs	0.5	0.02	180.0	0.8
12097.0	60.0	epochs	1.0	0.02	0.0	0.8
12187.0	60.0	epochs	2.0	0.32	180.0	0.8
12278.0	59.0	epochs	2.0	0.08	0.0	0.8
12368.0	60.0	epochs	1.0	0.02	270.0	0.8
12458.0	60.0	epochs	1.0	0.04	270.0	0.8
12548.0	60.0	epochs	2.0	0.02	90.0	0.8
12639.0	59.0	epochs	0.5	0.02	0.0	0.8
12729.0	60.0	epochs	0.5	0.08	270.0	0.8
12819.0	60.0	epochs	1.0	0.32	90.0	0.8
12910.0	59.0	epochs	0.5	0.08	90.0	0.8
13000.0	60.0	epochs	2.0	0.08	0.0	0.8
13090.0	60.0	epochs	2.0	0.02	90.0	0.8
13181.0	59.0	epochs	8.0	0.02	90.0	0.8
13271.0	60.0	epochs	4.0	0.32	270.0	0.8
13361.0	60.0	epochs	2.0	0.16	270.0	0.8
13452.0	59.0	epochs	4.0	0.08	90.0	0.8
13542.0	60.0	epochs	4.0	0.04	180.0	0.8
13632.0	60.0	epochs	2.0	0.04	90.0	0.8
13722.0	60.0	epochs	4.0	0.04	0.0	0.8
13813.0	60.0	epochs	4.0	0.16	90.0	0.8
13903.0	60.0	epochs	8.0	0.02	270.0	0.8
13993.0	60.0	epochs	8.0	0.08	0.0	0.8
14084.0	59.0	epochs	8.0	0.02	270.0	0.8
14174.0	60.0	epochs	4.0	0.32	180.0	0.8
14264.0	60.0	epochs	4.0	0.04	90.0	0.8
14355.0	59.0	epochs	2.0	0.16	90.0	0.8
14445.0	60.0	epochs	8.0	0.02	180.0	0.8
14535.0	60.0	epochs	2.0	0.32	270.0	0.8
14626.0	59.0	epochs	0.5	0.02	270.0	0.8
14716.0	60.0	epochs	8.0	0.04	0.0	0.8
14806.0	60.0	epochs	2.0	0.16	0.0	0.8
14897.0	59.0	epochs	0.5	0.32	180.0	0.8
14987.0	60.0	epochs	2.0	0.32	180.0	0.8
15077.0	60.0	epochs	0.5	0.08	180.0	0.8
15167.0	60.0	epochs	0.5	0.16	180.0	0.8
15258.0	59.0	epochs	0.5	0.02	0.0	0.8
15348.0	60.0	epochs	4.0	0.32	90.0	0.8
15438.0	60.0	epochs	0.5	0.16	90.0	0.8
15529.0	59.0	epochs	1.0	0.04	0.0	0.8
15619.0	60.0	epochs	8.0	0.08	270.0	0.8
15709.0	60.0	epochs	8.0	0.16	0.0	0.8
15800.0	59.0	epochs	0.5	0.32	0.0	0.8
15890.0	60.0	epochs	4.0	0.32	0.0	0.8
15980.0	60.0	epochs	2.0	0.02	270.0	0.8
16071.0	59.0	epochs	2.0	0.16	180.0	0.8
16161.0	60.0	epochs	0.5	0.04	0.0	0.8
16251.0	60.0	epochs	0.5	0.16	90.0	0.8
16341.0	60.0	epochs	2.0	0.16	270.0	0.8
16432.0	60.0	epochs	0.5	0.02	0.0	0.8
16522.0	60.0	epochs	2.0	0.04	270.0	0.8
16612.0	60.0	epochs	4.0	0.02	270.0	0.8
16703.0	59.0	epochs	1.0	0.04	180.0	0.8
16793.0	60.0	epochs	1.0	0.16	270.0	0.8
16883.0	60.0	epochs	1.0	0.02	180.0	0.8
16974.0	59.0	epochs	2.0	0.08	90.0	0.8
17064.0	60.0	epochs	1.0	0.08	0.0	0.8
17154.0	60.0	epochs	2.0	0.02	270.0	0.8
17245.0	59.0	epochs	1.0	0.02	180.0	0.8
17335.0	60.0	epochs	2.0	0.04	90.0	0.8
17425.0	60.0	epochs	8.0	0.02	0.0	0.8
17516.0	59.0	epochs	0.5	0.32	180.0	0.8
17606.0	60.0	epochs	0.5	0.02	90.0	0.8
17696.0	60.0	epochs	8.0	0.08	90.0	0.8
17786.0	60.0	epochs	0.5	0.16	270.0	0.8
17877.0	59.0	epochs	8.0	0.08	90.0	0.8
17967.0	60.0	epochs	0.5	0.04	270.0	0.8
18057.0	60.0	epochs	2.0	0.02	270.0	0.8
18148.0	59.0	epochs	8.0	0.32	180.0	0.8
18238.0	60.0	epochs	2.0	0.08	180.0	0.8
18328.0	60.0	epochs	4.0	0.32	180.0	0.8
18419.0	59.0	epochs	0.5	0.02	90.0	0.8
18509.0	60.0	epochs	1.0	0.32	180.0	0.8
18599.0	60.0	epochs	0.5	0.04	180.0	0.8
18690.0	59.0	epochs	0.5	0.02	90.0	0.8
18780.0	60.0	epochs	4.0	0.04	180.0	0.8
18870.0	60.0	epochs	1.0	0.08	0.0	0.8
18960.0	60.0	epochs	2.0	0.16	90.0	0.8
19051.0	60.0	epochs	8.0	0.08	90.0	0.8
19141.0	60.0	epochs	2.0	0.32	90.0	0.8
19231.0	60.0	epochs	4.0	0.04	0.0	0.8
19322.0	59.0	epochs	8.0	0.02	90.0	0.8
19412.0	60.0	epochs	4.0	0.04	90.0	0.8
19502.0	60.0	epochs	0.5	0.32	180.0	0.8
19593.0	59.0	epochs	2.0	0.16	0.0	0.8
19683.0	60.0	epochs	1.0	0.02	90.0	0.8
19773.0	60.0	epochs	1.0	0.02	90.0	0.8
19864.0	59.0	epochs	8.0	0.04	270.0	0.8
19954.0	60.0	epochs	8.0	0.16	90.0	0.8
20044.0	60.0	epochs	2.0	0.32	90.0	0.8
20135.0	59.0	epochs	8.0	0.08	180.0	0.8
20225.0	60.0	epochs	1.0	0.16	180.0	0.8
20315.0	60.0	epochs	1.0	0.02	90.0	0.8
20405.0	60.0	epochs	8.0	0.32	180.0	0.8
20496.0	59.0	epochs	8.0	0.16	0.0	0.8
20586.0	60.0	epochs	4.0	0.02	180.0	0.8
20676.0	60.0	epochs	0.5	0.16	90.0	0.8
20767.0	59.0	epochs	1.0	0.16	0.0	0.8
20857.0	60.0	epochs	0.5	0.04	0.0	0.8
20947.0	60.0	epochs	4.0	0.02	180.0	0.8
21038.0	59.0	epochs	2.0	0.16	270.0	0.8
21128.0	60.0	epochs	0.5	0.32	270.0	0.8
21218.0	60.0	epochs	8.0	0.16	90.0	0.8
21309.0	59.0	epochs	1.0	0.16	180.0	0.8
21399.0	60.0	epochs	0.5	0.16	0.0	0.8
21489.0	60.0	epochs	1.0	0.02	0.0	0.8
21579.0	60.0	epochs	2.0	0.32	0.0	0.8
21670.0	60.0	epochs	1.0	0.02	90.0	0.8
21760.0	60.0	epochs	0.5	0.02	90.0	0.8
21850.0	60.0	epochs	8.0	0.16	270.0	0.8
21941.0	59.0	epochs	2.0	0.08	90.0	0.8
22031.0	60.0	epochs	1.0	0.02	0.0	0.8
22121.0	60.0	epochs	0.5	0.16	90.0	0.8
22212.0	59.0	epochs				
22302.0	60.0	epochs				
22392.0	60.0	epochs	1.0	0.04	90.0	0.8
22483.0	59.0	epochs	1.0	0.16	0.0	0.8
22573.0	60.0	epochs	4.0	0.08	0.0	0.8
22663.0	60.0	epochs	2.0	0.32	180.0	0.8
22754.0	59.0	epochs	1.0	0.04	270.0	0.8
22844.0	60.0	epochs	4.0	0.02	270.0	0.8
22934.0	60.0	epochs	1.0	0.08	0.0	0.8
23024.0	60.0	epochs	4.0	0.32	180.0	0.8
23115.0	59.0	epochs	1.0	0.08	180.0	0.8
23205.0	60.0	epochs	1.0	0.04	180.0	0.8
23295.0	60.0	epochs	0.5	0.02	270.0	0.8
23386.0	59.0	epochs	0.5	0.16	270.0	0.8
23476.0	60.0	epochs	4.0	0.02	0.0	0.8
23566.0	60.0	epochs	2.0	0.02	90.0	0.8
23657.0	59.0	epochs	4.0	0.08	90.0	0.8
23747.0	60.0	epochs	1.0	0.02	270.0	0.8
23837.0	60.0	epochs	0.5	0.16	0.0	0.8
23928.0	59.0	epochs	0.5	0.02	270.0	0.8
24018.0	60.0	epochs	0.5	0.02	90.0	0.8
24108.0	60.0	epochs	4.0	0.32	270.0	0.8
24198.0	60.0	epochs	2.0	0.16	0.0	0.8
24289.0	59.0	epochs	1.0	0.04	90.0	0.8
24379.0	60.0	epochs	2.0	0.08	270.0	0.8
24469.0	60.0	epochs	4.0	0.02	180.0	0.8
24560.0	59.0	epochs	4.0	0.16	180.0	0.8
24650.0	60.0	epochs	2.0	0.04	180.0	0.8
24740.0	60.0	epochs	8.0	0.04	180.0	0.8
24831.0	59.0	epochs	4.0	0.04	0.0	0.8
24921.0	60.0	epochs	2.0	0.02	270.0	0.8
25011.0	60.0	epochs	0.5	0.08	270.0	0.8
25102.0	59.0	epochs	4.0	0.04	0.0	0.8
25192.0	60.0	epochs	4.0	0.04	270.0	0.8
25282.0	60.0	epochs	8.0	0.02	180.0	0.8
25373.0	59.0	epochs	1.0	0.16	90.0	0.8
25463.0	60.0	epochs	4.0	0.32	180.0	0.8
25553.0	60.0	epochs	1.0	0.04	90.0	0.8
25643.0	60.0	epochs	2.0	0.32	270.0	0.8
25734.0	59.0	epochs	2.0	0.04	180.0	0.8
25824.0	60.0	epochs	0.5	0.16	180.0	0.8
25914.0	60.0	epochs	4.0	0.02	180.0	0.8
26005.0	59.0	epochs	1.0	0.32	90.0	0.8
26095.0	60.0	epochs	1.0	0.32	180.0	0.8
26185.0	60.0	epochs	2.0	0.08	180.0	0.8
26276.0	59.0	epochs	8.0	0.32	180.0	0.8
26366.0	60.0	epochs	4.0	0.32	270.0	0.8
26456.0	60.0	epochs	4.0	0.16	180.0	0.8
