onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
447.0	60.0	epochs	8.0	0.04	270.0	0.8
537.0	60.0	epochs	1.0	0.16	180.0	0.8
627.0	60.0	epochs	2.0	0.04	180.0	0.8
718.0	60.0	epochs	1.0	0.08	180.0	0.8
808.0	60.0	epochs	1.0	0.04	180.0	0.8
898.0	60.0	epochs	4.0	0.16	180.0	0.8
989.0	59.0	epochs	2.0	0.04	90.0	0.8
1079.0	60.0	epochs	1.0	0.08	90.0	0.8
1169.0	60.0	epochs	1.0	0.02	270.0	0.8
1260.0	59.0	epochs	1.0	0.02	0.0	0.8
1350.0	60.0	epochs	0.5	0.02	270.0	0.8
1440.0	60.0	epochs	4.0	0.16	180.0	0.8
1531.0	59.0	epochs	4.0	0.08	180.0	0.8
1621.0	60.0	epochs	8.0	0.16	270.0	0.8
1711.0	60.0	epochs	0.5	0.16	90.0	0.8
1802.0	59.0	epochs	0.5	0.04	180.0	0.8
1892.0	60.0	epochs	1.0	0.16	90.0	0.8
1982.0	60.0	epochs	0.5	0.32	180.0	0.8
2073.0	59.0	epochs	4.0	0.04	270.0	0.8
2163.0	60.0	epochs	4.0	0.04	180.0	0.8
2253.0	60.0	epochs	1.0	0.02	180.0	0.8
2344.0	59.0	epochs	0.5	0.02	180.0	0.8
2434.0	60.0	epochs	1.0	0.02	0.0	0.8
2524.0	60.0	epochs	0.5	0.08	180.0	0.8
2615.0	59.0	epochs	4.0	0.04	0.0	0.8
2705.0	60.0	epochs	2.0	0.08	90.0	0.8
2795.0	60.0	epochs	0.5	0.16	270.0	0.8
2886.0	59.0	epochs	1.0	0.04	180.0	0.8
2976.0	60.0	epochs	2.0	0.08	0.0	0.8
3066.0	60.0	epochs	1.0	0.04	180.0	0.8
3157.0	59.0	epochs	1.0	0.16	90.0	0.8
3247.0	60.0	epochs	4.0	0.32	0.0	0.8
3337.0	60.0	epochs	2.0	0.32	0.0	0.8
3427.0	60.0	epochs	1.0	0.32	0.0	0.8
3518.0	60.0	epochs	2.0	0.16	180.0	0.8
3608.0	60.0	epochs	8.0	0.02	180.0	0.8
3698.0	60.0	epochs	1.0	0.04	270.0	0.8
3789.0	60.0	epochs	1.0	0.02	270.0	0.8
3879.0	60.0	epochs	8.0	0.04	0.0	0.8
3969.0	60.0	epochs	8.0	0.16	0.0	0.8
4060.0	59.0	epochs	1.0	0.02	0.0	0.8
4150.0	60.0	epochs	4.0	0.04	270.0	0.8
4240.0	60.0	epochs	4.0	0.08	0.0	0.8
4331.0	59.0	epochs	1.0	0.08	90.0	0.8
4421.0	60.0	epochs	4.0	0.32	0.0	0.8
4511.0	60.0	epochs	8.0	0.04	180.0	0.8
4602.0	59.0	epochs	8.0	0.08	0.0	0.8
4692.0	60.0	epochs	4.0	0.32	90.0	0.8
4782.0	60.0	epochs	2.0	0.04	180.0	0.8
4873.0	59.0	epochs	0.5	0.08	0.0	0.8
4963.0	60.0	epochs	0.5	0.04	270.0	0.8
5053.0	60.0	epochs	8.0	0.02	0.0	0.8
5144.0	59.0	epochs	8.0	0.04	90.0	0.8
5234.0	60.0	epochs	2.0	0.08	270.0	0.8
5324.0	60.0	epochs	1.0	0.08	180.0	0.8
5415.0	59.0	epochs	2.0	0.16	270.0	0.8
5505.0	60.0	epochs	2.0	0.02	270.0	0.8
5595.0	60.0	epochs	8.0	0.04	90.0	0.8
5686.0	59.0	epochs	1.0	0.32	270.0	0.8
5776.0	60.0	epochs	8.0	0.32	270.0	0.8
5866.0	60.0	epochs	8.0	0.02	90.0	0.8
5957.0	59.0	epochs	0.5	0.08	270.0	0.8
6047.0	60.0	epochs	1.0	0.02	180.0	0.8
6137.0	60.0	epochs	1.0	0.02	90.0	0.8
6228.0	59.0	epochs	2.0	0.04	270.0	0.8
6318.0	60.0	epochs	2.0	0.08	90.0	0.8
6408.0	60.0	epochs	1.0	0.32	90.0	0.8
6498.0	60.0	epochs	0.5	0.32	180.0	0.8
6589.0	60.0	epochs	4.0	0.04	0.0	0.8
6679.0	60.0	epochs	1.0	0.04	180.0	0.8
6769.0	60.0	epochs	8.0	0.02	180.0	0.8
6860.0	59.0	epochs	0.5	0.04	90.0	0.8
6950.0	60.0	epochs	2.0	0.04	90.0	0.8
7040.0	60.0	epochs	8.0	0.16	180.0	0.8
7131.0	59.0	epochs	2.0	0.32	90.0	0.8
7221.0	60.0	epochs	2.0	0.02	0.0	0.8
7311.0	60.0	epochs	8.0	0.04	270.0	0.8
7402.0	59.0	epochs	4.0	0.16	0.0	0.8
7492.0	60.0	epochs				
7582.0	60.0	epochs	2.0	0.16	270.0	0.8
7673.0	59.0	epochs	8.0	0.02	90.0	0.8
7763.0	60.0	epochs	8.0	0.08	180.0	0.8
7853.0	60.0	epochs	8.0	0.04	270.0	0.8
7944.0	59.0	epochs	1.0	0.16	270.0	0.8
8034.0	60.0	epochs	4.0	0.32	0.0	0.8
8124.0	60.0	epochs	0.5	0.04	180.0	0.8
8215.0	59.0	epochs	8.0	0.04	0.0	0.8
8305.0	60.0	epochs	8.0	0.02	180.0	0.8
8395.0	60.0	epochs	2.0	0.04	270.0	0.8
8486.0	59.0	epochs	0.5	0.08	90.0	0.8
8576.0	60.0	epochs	4.0	0.04	90.0	0.8
8666.0	60.0	epochs	1.0	0.16	0.0	0.8
8757.0	59.0	epochs	2.0	0.32	270.0	0.8
8847.0	60.0	epochs	8.0	0.16	270.0	0.8
8937.0	60.0	epochs	4.0	0.02	0.0	0.8
9028.0	59.0	epochs	8.0	0.08	0.0	0.8
9118.0	60.0	epochs	2.0	0.08	180.0	0.8
9208.0	60.0	epochs	2.0	0.32	270.0	0.8
9298.0	60.0	epochs	0.5	0.08	270.0	0.8
9389.0	60.0	epochs	0.5	0.02	0.0	0.8
9479.0	60.0	epochs	4.0	0.02	180.0	0.8
9569.0	60.0	epochs	4.0	0.02	270.0	0.8
9660.0	59.0	epochs	8.0	0.04	0.0	0.8
9750.0	60.0	epochs	4.0	0.08	180.0	0.8
9840.0	60.0	epochs	0.5	0.08	90.0	0.8
9931.0	59.0	epochs	1.0	0.08	90.0	0.8
10021.0	60.0	epochs	8.0	0.08	270.0	0.8
10111.0	60.0	epochs	2.0	0.08	90.0	0.8
10202.0	59.0	epochs				
10292.0	60.0	epochs	0.5	0.16	180.0	0.8
10382.0	60.0	epochs	1.0	0.16	180.0	0.8
10473.0	59.0	epochs	4.0	0.08	270.0	0.8
10563.0	60.0	epochs	4.0	0.16	270.0	0.8
10653.0	60.0	epochs	1.0	0.16	90.0	0.8
10744.0	59.0	epochs	0.5	0.04	270.0	0.8
10834.0	60.0	epochs				
10924.0	60.0	epochs	0.5	0.04	0.0	0.8
11015.0	59.0	epochs	1.0	0.08	0.0	0.8
11105.0	60.0	epochs	4.0	0.16	0.0	0.8
11195.0	60.0	epochs	4.0	0.08	90.0	0.8
11286.0	59.0	epochs	2.0	0.02	90.0	0.8
11376.0	60.0	epochs	4.0	0.08	270.0	0.8
11466.0	60.0	epochs	0.5	0.08	0.0	0.8
11557.0	59.0	epochs	2.0	0.08	270.0	0.8
11647.0	60.0	epochs	2.0	0.16	270.0	0.8
11737.0	60.0	epochs	0.5	0.02	270.0	0.8
11828.0	59.0	epochs	2.0	0.16	0.0	0.8
11918.0	60.0	epochs	0.5	0.16	0.0	0.8
12008.0	60.0	epochs	2.0	0.32	90.0	0.8
12098.0	60.0	epochs	2.0	0.04	180.0	0.8
12189.0	60.0	epochs	0.5	0.04	0.0	0.8
12279.0	60.0	epochs	2.0	0.08	180.0	0.8
12369.0	60.0	epochs	0.5	0.32	90.0	0.8
12460.0	59.0	epochs	1.0	0.08	0.0	0.8
12550.0	60.0	epochs	8.0	0.08	180.0	0.8
12640.0	60.0	epochs	0.5	0.16	180.0	0.8
12731.0	59.0	epochs	4.0	0.02	270.0	0.8
12821.0	60.0	epochs	0.5	0.02	90.0	0.8
12911.0	60.0	epochs	8.0	0.04	0.0	0.8
13002.0	59.0	epochs	1.0	0.02	90.0	0.8
13092.0	60.0	epochs	0.5	0.04	0.0	0.8
13182.0	60.0	epochs	8.0	0.16	270.0	0.8
13273.0	59.0	epochs	1.0	0.02	90.0	0.8
13363.0	60.0	epochs	4.0	0.32	270.0	0.8
13453.0	60.0	epochs	8.0	0.16	0.0	0.8
13544.0	59.0	epochs	2.0	0.08	90.0	0.8
13634.0	60.0	epochs	0.5	0.08	0.0	0.8
13724.0	60.0	epochs	1.0	0.16	0.0	0.8
13815.0	59.0	epochs	2.0	0.16	180.0	0.8
13905.0	60.0	epochs	4.0	0.16	90.0	0.8
13995.0	60.0	epochs	1.0	0.02	90.0	0.8
14086.0	59.0	epochs	0.5	0.08	270.0	0.8
14176.0	60.0	epochs	1.0	0.32	0.0	0.8
14266.0	60.0	epochs	1.0	0.16	90.0	0.8
14357.0	59.0	epochs	1.0	0.04	270.0	0.8
14447.0	60.0	epochs	0.5	0.08	270.0	0.8
14537.0	60.0	epochs	2.0	0.16	0.0	0.8
14627.0	60.0	epochs	0.5	0.32	270.0	0.8
14718.0	60.0	epochs	2.0	0.02	90.0	0.8
14808.0	60.0	epochs	0.5	0.02	0.0	0.8
14898.0	60.0	epochs	8.0	0.08	270.0	0.8
14989.0	60.0	epochs	4.0	0.16	90.0	0.8
15079.0	60.0	epochs	2.0	0.16	90.0	0.8
15169.0	60.0	epochs	1.0	0.04	90.0	0.8
15260.0	59.0	epochs	8.0	0.08	270.0	0.8
15350.0	60.0	epochs	2.0	0.04	180.0	0.8
15440.0	60.0	epochs	4.0	0.32	90.0	0.8
15531.0	59.0	epochs	4.0	0.02	0.0	0.8
15621.0	60.0	epochs	1.0	0.32	270.0	0.8
15711.0	60.0	epochs	4.0	0.16	180.0	0.8
15802.0	59.0	epochs	4.0	0.16	270.0	0.8
15892.0	60.0	epochs	2.0	0.02	0.0	0.8
15982.0	60.0	epochs	8.0	0.32	90.0	0.8
16073.0	59.0	epochs	0.5	0.02	90.0	0.8
16163.0	60.0	epochs	2.0	0.02	90.0	0.8
16253.0	60.0	epochs	4.0	0.02	270.0	0.8
16344.0	59.0	epochs	0.5	0.32	90.0	0.8
16434.0	60.0	epochs	0.5	0.02	90.0	0.8
16524.0	60.0	epochs	4.0	0.16	180.0	0.8
16615.0	59.0	epochs	4.0	0.08	90.0	0.8
16705.0	60.0	epochs	1.0	0.02	0.0	0.8
16795.0	60.0	epochs	8.0	0.08	270.0	0.8
16886.0	59.0	epochs	2.0	0.08	270.0	0.8
16976.0	60.0	epochs	1.0	0.04	270.0	0.8
17066.0	60.0	epochs	4.0	0.32	180.0	0.8
17157.0	59.0	epochs	0.5	0.08	180.0	0.8
17247.0	60.0	epochs	1.0	0.02	0.0	0.8
17337.0	60.0	epochs	1.0	0.16	270.0	0.8
17427.0	60.0	epochs	4.0	0.16	0.0	0.8
17518.0	60.0	epochs	8.0	0.04	180.0	0.8
17608.0	60.0	epochs	8.0	0.02	180.0	0.8
17698.0	60.0	epochs	8.0	0.02	90.0	0.8
17789.0	59.0	epochs	0.5	0.16	180.0	0.8
17879.0	60.0	epochs	2.0	0.02	0.0	0.8
17969.0	60.0	epochs	4.0	0.16	90.0	0.8
18060.0	59.0	epochs	1.0	0.08	270.0	0.8
18150.0	60.0	epochs	1.0	0.08	180.0	0.8
18240.0	60.0	epochs	4.0	0.02	0.0	0.8
18331.0	59.0	epochs	8.0	0.32	90.0	0.8
18421.0	60.0	epochs	2.0	0.16	0.0	0.8
18511.0	60.0	epochs	2.0	0.08	90.0	0.8
18602.0	59.0	epochs	2.0	0.04	90.0	0.8
18692.0	60.0	epochs	8.0	0.04	90.0	0.8
18782.0	60.0	epochs	4.0	0.08	0.0	0.8
18873.0	59.0	epochs	8.0	0.08	180.0	0.8
18963.0	60.0	epochs	2.0	0.02	270.0	0.8
19053.0	60.0	epochs	2.0	0.02	180.0	0.8
19144.0	59.0	epochs	1.0	0.16	270.0	0.8
19234.0	60.0	epochs	2.0	0.02	90.0	0.8
19324.0	60.0	epochs	8.0	0.08	180.0	0.8
19415.0	59.0	epochs	1.0	0.04	270.0	0.8
19505.0	60.0	epochs	4.0	0.08	90.0	0.8
19595.0	60.0	epochs	0.5	0.04	180.0	0.8
19686.0	59.0	epochs	4.0	0.08	270.0	0.8
19776.0	60.0	epochs	8.0	0.08	180.0	0.8
19866.0	60.0	epochs	2.0	0.04	90.0	0.8
19957.0	59.0	epochs	8.0	0.02	270.0	0.8
20047.0	60.0	epochs	2.0	0.32	270.0	0.8
20137.0	60.0	epochs	2.0	0.02	270.0	0.8
20227.0	60.0	epochs	0.5	0.02	270.0	0.8
20318.0	60.0	epochs	1.0	0.08	0.0	0.8
20408.0	60.0	epochs	2.0	0.02	90.0	0.8
20498.0	60.0	epochs	8.0	0.32	90.0	0.8
20589.0	59.0	epochs	4.0	0.32	0.0	0.8
20679.0	60.0	epochs	0.5	0.04	90.0	0.8
20769.0	60.0	epochs	8.0	0.08	0.0	0.8
20860.0	59.0	epochs	8.0	0.08	90.0	0.8
20950.0	60.0	epochs	2.0	0.32	0.0	0.8
21040.0	60.0	epochs	2.0	0.16	90.0	0.8
21131.0	59.0	epochs	8.0	0.08	180.0	0.8
21221.0	60.0	epochs	4.0	0.04	180.0	0.8
21311.0	60.0	epochs	4.0	0.32	270.0	0.8
21402.0	59.0	epochs	4.0	0.02	0.0	0.8
21492.0	60.0	epochs	4.0	0.32	0.0	0.8
21582.0	60.0	epochs	4.0	0.16	180.0	0.8
21673.0	59.0	epochs	0.5	0.16	90.0	0.8
21763.0	60.0	epochs	2.0	0.04	0.0	0.8
21853.0	60.0	epochs	2.0	0.02	270.0	0.8
21944.0	59.0	epochs	8.0	0.08	0.0	0.8
22034.0	60.0	epochs	0.5	0.08	90.0	0.8
22124.0	60.0	epochs	2.0	0.08	90.0	0.8
22215.0	59.0	epochs	0.5	0.32	90.0	0.8
22305.0	60.0	epochs	2.0	0.32	180.0	0.8
22395.0	60.0	epochs	4.0	0.32	270.0	0.8
22486.0	59.0	epochs	4.0	0.02	90.0	0.8
22576.0	60.0	epochs	8.0	0.08	0.0	0.8
22666.0	60.0	epochs	8.0	0.04	270.0	0.8
22756.0	60.0	epochs	4.0	0.32	0.0	0.8
22847.0	60.0	epochs	8.0	0.04	0.0	0.8
22937.0	60.0	epochs	8.0	0.08	90.0	0.8
23027.0	60.0	epochs	1.0	0.04	270.0	0.8
23118.0	59.0	epochs	1.0	0.32	90.0	0.8
23208.0	60.0	epochs	8.0	0.08	90.0	0.8
23298.0	60.0	epochs	1.0	0.08	270.0	0.8
23389.0	59.0	epochs	4.0	0.16	90.0	0.8
23479.0	60.0	epochs	0.5	0.32	90.0	0.8
23569.0	60.0	epochs	8.0	0.04	270.0	0.8
23660.0	59.0	epochs	4.0	0.16	0.0	0.8
23750.0	60.0	epochs	1.0	0.04	90.0	0.8
23840.0	60.0	epochs	1.0	0.16	180.0	0.8
23931.0	59.0	epochs	2.0	0.02	180.0	0.8
24021.0	60.0	epochs	2.0	0.16	180.0	0.8
24111.0	60.0	epochs	1.0	0.32	270.0	0.8
24202.0	59.0	epochs	8.0	0.16	270.0	0.8
24292.0	60.0	epochs	1.0	0.04	90.0	0.8
24382.0	60.0	epochs	2.0	0.02	90.0	0.8
24473.0	59.0	epochs	4.0	0.16	270.0	0.8
24563.0	60.0	epochs	2.0	0.16	90.0	0.8
24653.0	60.0	epochs	2.0	0.16	270.0	0.8
24744.0	59.0	epochs	0.5	0.32	270.0	0.8
24834.0	60.0	epochs	4.0	0.32	0.0	0.8
24924.0	60.0	epochs	8.0	0.08	270.0	0.8
25015.0	59.0	epochs	1.0	0.04	90.0	0.8
25105.0	60.0	epochs	2.0	0.04	90.0	0.8
25195.0	60.0	epochs	1.0	0.16	0.0	0.8
25285.0	60.0	epochs	2.0	0.16	180.0	0.8
25376.0	60.0	epochs	1.0	0.08	0.0	0.8
25466.0	60.0	epochs	4.0	0.16	180.0	0.8
25556.0	60.0	epochs	2.0	0.02	180.0	0.8
25647.0	59.0	epochs	1.0	0.08	270.0	0.8
25737.0	60.0	epochs	8.0	0.02	90.0	0.8
25827.0	60.0	epochs	0.5	0.32	0.0	0.8
25918.0	59.0	epochs	2.0	0.16	0.0	0.8
26008.0	60.0	epochs	4.0	0.02	90.0	0.8
26098.0	60.0	epochs	1.0	0.32	0.0	0.8
26189.0	59.0	epochs	2.0	0.02	90.0	0.8
26279.0	60.0	epochs	2.0	0.32	180.0	0.8
26369.0	60.0	epochs	1.0	0.08	180.0	0.8
26460.0	59.0	epochs	1.0	0.04	270.0	0.8
