onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
445.0	60.0	epochs	8.0	0.02	270.0	0.8
536.0	59.0	epochs	1.0	0.08	90.0	0.8
626.0	60.0	epochs	1.0	0.16	0.0	0.8
716.0	60.0	epochs	1.0	0.16	90.0	0.8
807.0	59.0	epochs	8.0	0.08	90.0	0.8
897.0	60.0	epochs	2.0	0.08	90.0	0.8
987.0	60.0	epochs	2.0	0.08	270.0	0.8
1077.0	60.0	epochs	1.0	0.32	90.0	0.8
1168.0	59.0	epochs	4.0	0.32	180.0	0.8
1258.0	60.0	epochs	8.0	0.32	180.0	0.8
1348.0	60.0	epochs	4.0	0.08	90.0	0.8
1439.0	59.0	epochs	4.0	0.32	270.0	0.8
1529.0	60.0	epochs	4.0	0.02	270.0	0.8
1619.0	60.0	epochs	2.0	0.32	0.0	0.8
1710.0	59.0	epochs	0.5	0.08	270.0	0.8
1800.0	60.0	epochs	8.0	0.08	270.0	0.8
1890.0	60.0	epochs	0.5	0.08	180.0	0.8
1981.0	59.0	epochs	1.0	0.08	180.0	0.8
2071.0	60.0	epochs	4.0	0.04	0.0	0.8
2161.0	60.0	epochs	8.0	0.08	180.0	0.8
2252.0	59.0	epochs	1.0	0.16	270.0	0.8
2342.0	60.0	epochs	0.5	0.08	0.0	0.8
2432.0	60.0	epochs	0.5	0.08	90.0	0.8
2523.0	59.0	epochs	1.0	0.08	270.0	0.8
2613.0	60.0	epochs	8.0	0.16	0.0	0.8
2703.0	60.0	epochs	0.5	0.32	0.0	0.8
2793.0	60.0	epochs	2.0	0.04	90.0	0.8
2884.0	60.0	epochs	0.5	0.16	270.0	0.8
2974.0	60.0	epochs	8.0	0.08	270.0	0.8
3064.0	60.0	epochs	4.0	0.02	270.0	0.8
3155.0	59.0	epochs	1.0	0.32	270.0	0.8
3245.0	60.0	epochs	2.0	0.08	270.0	0.8
3335.0	60.0	epochs	2.0	0.32	0.0	0.8
3426.0	59.0	epochs	8.0	0.08	180.0	0.8
3516.0	60.0	epochs	8.0	0.16	270.0	0.8
3606.0	60.0	epochs	1.0	0.32	180.0	0.8
3697.0	59.0	epochs	8.0	0.32	0.0	0.8
3787.0	60.0	epochs	4.0	0.02	180.0	0.8
3877.0	60.0	epochs	4.0	0.02	90.0	0.8
3968.0	59.0	epochs	4.0	0.02	180.0	0.8
4058.0	60.0	epochs	0.5	0.16	270.0	0.8
4148.0	60.0	epochs	2.0	0.16	0.0	0.8
4239.0	59.0	epochs	4.0	0.02	0.0	0.8
4329.0	60.0	epochs	0.5	0.04	270.0	0.8
4419.0	60.0	epochs	0.5	0.04	270.0	0.8
4509.0	60.0	epochs	1.0	0.32	270.0	0.8
4600.0	60.0	epochs	2.0	0.04	90.0	0.8
4690.0	60.0	epochs	4.0	0.08	180.0	0.8
4780.0	60.0	epochs	2.0	0.16	90.0	0.8
4871.0	59.0	epochs	1.0	0.02	270.0	0.8
4961.0	60.0	epochs	8.0	0.02	270.0	0.8
5051.0	60.0	epochs	4.0	0.04	180.0	0.8
5142.0	59.0	epochs	4.0	0.16	270.0	0.8
5232.0	60.0	epochs	8.0	0.16	90.0	0.8
5322.0	60.0	epochs	4.0	0.32	180.0	0.8
5413.0	59.0	epochs	8.0	0.16	270.0	0.8
5503.0	60.0	epochs	4.0	0.04	180.0	0.8
5593.0	60.0	epochs	8.0	0.16	180.0	0.8
5684.0	59.0	epochs	1.0	0.04	180.0	0.8
5774.0	60.0	epochs	1.0	0.16	270.0	0.8
5864.0	60.0	epochs	2.0	0.32	180.0	0.8
5955.0	59.0	epochs	1.0	0.32	90.0	0.8
6045.0	60.0	epochs	4.0	0.04	90.0	0.8
6135.0	60.0	epochs	0.5	0.04	180.0	0.8
6226.0	59.0	epochs	2.0	0.04	180.0	0.8
6316.0	60.0	epochs	2.0	0.32	0.0	0.8
6406.0	60.0	epochs	8.0	0.08	270.0	0.8
6496.0	60.0	epochs	0.5	0.16	90.0	0.8
6587.0	59.0	epochs	1.0	0.04	0.0	0.8
6677.0	60.0	epochs	4.0	0.08	90.0	0.8
6767.0	60.0	epochs	1.0	0.04	90.0	0.8
6858.0	59.0	epochs	2.0	0.02	270.0	0.8
6948.0	60.0	epochs	1.0	0.16	270.0	0.8
7038.0	60.0	epochs	0.5	0.02	180.0	0.8
7129.0	59.0	epochs	2.0	0.08	90.0	0.8
7219.0	60.0	epochs	1.0	0.04	90.0	0.8
7309.0	60.0	epochs	8.0	0.02	180.0	0.8
7400.0	59.0	epochs	8.0	0.08	90.0	0.8
7490.0	60.0	epochs	0.5	0.02	180.0	0.8
7580.0	60.0	epochs	0.5	0.02	0.0	0.8
7671.0	59.0	epochs	4.0	0.04	270.0	0.8
7761.0	60.0	epochs	4.0	0.16	90.0	0.8
7851.0	60.0	epochs	4.0	0.16	180.0	0.8
7942.0	59.0	epochs	2.0	0.08	0.0	0.8
8032.0	60.0	epochs	0.5	0.32	180.0	0.8
8122.0	60.0	epochs	8.0	0.16	270.0	0.8
8212.0	60.0	epochs	4.0	0.32	90.0	0.8
8303.0	59.0	epochs	2.0	0.08	180.0	0.8
8393.0	60.0	epochs	0.5	0.02	180.0	0.8
8483.0	60.0	epochs	4.0	0.02	180.0	0.8
8574.0	59.0	epochs	8.0	0.02	90.0	0.8
8664.0	60.0	epochs	0.5	0.16	0.0	0.8
8754.0	60.0	epochs	2.0	0.02	270.0	0.8
8845.0	59.0	epochs	4.0	0.16	270.0	0.8
8935.0	60.0	epochs	4.0	0.02	90.0	0.8
9025.0	60.0	epochs	0.5	0.08	270.0	0.8
9116.0	59.0	epochs	8.0	0.04	0.0	0.8
9206.0	60.0	epochs	0.5	0.02	270.0	0.8
9296.0	60.0	epochs	4.0	0.32	90.0	0.8
9387.0	59.0	epochs	1.0	0.32	270.0	0.8
9477.0	60.0	epochs	2.0	0.16	180.0	0.8
9567.0	60.0	epochs	0.5	0.08	0.0	0.8
9658.0	59.0	epochs	8.0	0.32	90.0	0.8
9748.0	60.0	epochs	8.0	0.02	90.0	0.8
9838.0	60.0	epochs	2.0	0.16	0.0	0.8
9928.0	60.0	epochs	8.0	0.02	180.0	0.8
10019.0	59.0	epochs	8.0	0.08	0.0	0.8
10109.0	60.0	epochs	0.5	0.32	180.0	0.8
10199.0	60.0	epochs	2.0	0.16	180.0	0.8
10290.0	59.0	epochs	2.0	0.02	0.0	0.8
10380.0	60.0	epochs	0.5	0.32	90.0	0.8
10470.0	60.0	epochs	0.5	0.16	180.0	0.8
10561.0	59.0	epochs	1.0	0.04	180.0	0.8
10651.0	60.0	epochs	4.0	0.32	90.0	0.8
10741.0	60.0	epochs	4.0	0.04	90.0	0.8
10832.0	59.0	epochs	2.0	0.02	90.0	0.8
10922.0	60.0	epochs	0.5	0.04	270.0	0.8
11012.0	60.0	epochs	1.0	0.16	90.0	0.8
11103.0	59.0	epochs	1.0	0.08	180.0	0.8
11193.0	60.0	epochs	4.0	0.16	90.0	0.8
11283.0	60.0	epochs	2.0	0.02	180.0	0.8
11374.0	59.0	epochs	1.0	0.04	0.0	0.8
11464.0	60.0	epochs	4.0	0.16	90.0	0.8
11554.0	60.0	epochs	0.5	0.32	180.0	0.8
11644.0	60.0	epochs	0.5	0.16	180.0	0.8
11735.0	60.0	epochs	8.0	0.02	0.0	0.8
11825.0	60.0	epochs	2.0	0.04	270.0	0.8
11915.0	60.0	epochs	0.5	0.04	90.0	0.8
12006.0	59.0	epochs	1.0	0.08	180.0	0.8
12096.0	60.0	epochs	4.0	0.32	180.0	0.8
12186.0	60.0	epochs	1.0	0.04	0.0	0.8
12277.0	59.0	epochs	4.0	0.04	0.0	0.8
12367.0	60.0	epochs	2.0	0.04	90.0	0.8
12457.0	60.0	epochs	1.0	0.08	270.0	0.8
12548.0	59.0	epochs	4.0	0.16	0.0	0.8
12638.0	60.0	epochs	2.0	0.08	0.0	0.8
12728.0	60.0	epochs	1.0	0.04	270.0	0.8
12819.0	59.0	epochs	2.0	0.32	90.0	0.8
12909.0	60.0	epochs	4.0	0.08	270.0	0.8
12999.0	60.0	epochs	4.0	0.04	270.0	0.8
13090.0	59.0	epochs	4.0	0.08	270.0	0.8
13180.0	60.0	epochs	1.0	0.32	180.0	0.8
13270.0	60.0	epochs	2.0	0.16	270.0	0.8
13360.0	60.0	epochs				
13451.0	60.0	epochs	2.0	0.16	180.0	0.8
13541.0	60.0	epochs	2.0	0.02	0.0	0.8
13631.0	60.0	epochs				
13722.0	59.0	epochs	2.0	0.08	270.0	0.8
13812.0	60.0	epochs	4.0	0.16	0.0	0.8
13902.0	60.0	epochs	4.0	0.32	270.0	0.8
13993.0	59.0	epochs	4.0	0.02	270.0	0.8
14083.0	60.0	epochs	1.0	0.04	270.0	0.8
14173.0	60.0	epochs	0.5	0.08	180.0	0.8
14264.0	59.0	epochs	0.5	0.08	270.0	0.8
14354.0	60.0	epochs	8.0	0.08	0.0	0.8
14444.0	60.0	epochs	0.5	0.04	270.0	0.8
14535.0	59.0	epochs	2.0	0.04	180.0	0.8
14625.0	60.0	epochs	0.5	0.16	90.0	0.8
14715.0	60.0	epochs	0.5	0.08	270.0	0.8
14806.0	59.0	epochs	8.0	0.32	90.0	0.8
14896.0	60.0	epochs	4.0	0.08	0.0	0.8
14986.0	60.0	epochs	8.0	0.04	270.0	0.8
15076.0	60.0	epochs	0.5	0.32	270.0	0.8
15167.0	60.0	epochs	2.0	0.04	0.0	0.8
15257.0	60.0	epochs	0.5	0.02	0.0	0.8
15347.0	60.0	epochs	8.0	0.08	0.0	0.8
15438.0	59.0	epochs	2.0	0.16	90.0	0.8
15528.0	60.0	epochs	2.0	0.02	0.0	0.8
15618.0	60.0	epochs	0.5	0.02	270.0	0.8
15709.0	59.0	epochs	8.0	0.02	180.0	0.8
15799.0	60.0	epochs	4.0	0.32	0.0	0.8
15889.0	60.0	epochs	1.0	0.02	90.0	0.8
15980.0	59.0	epochs	8.0	0.08	180.0	0.8
16070.0	60.0	epochs	1.0	0.32	0.0	0.8
16160.0	60.0	epochs	0.5	0.08	270.0	0.8
16251.0	59.0	epochs	0.5	0.32	90.0	0.8
16341.0	60.0	epochs	4.0	0.08	270.0	0.8
16431.0	60.0	epochs	1.0	0.16	90.0	0.8
16522.0	59.0	epochs	2.0	0.02	180.0	0.8
16612.0	60.0	epochs	4.0	0.02	180.0	0.8
16702.0	60.0	epochs	8.0	0.32	0.0	0.8
16792.0	60.0	epochs	4.0	0.08	90.0	0.8
16883.0	60.0	epochs	0.5	0.04	0.0	0.8
16973.0	60.0	epochs	8.0	0.04	90.0	0.8
17063.0	60.0	epochs	8.0	0.08	270.0	0.8
17154.0	59.0	epochs	8.0	0.32	270.0	0.8
17244.0	60.0	epochs	0.5	0.32	270.0	0.8
17334.0	60.0	epochs	8.0	0.32	0.0	0.8
17425.0	59.0	epochs	0.5	0.04	0.0	0.8
17515.0	60.0	epochs	8.0	0.08	270.0	0.8
17605.0	60.0	epochs	1.0	0.02	180.0	0.8
17696.0	59.0	epochs	1.0	0.02	180.0	0.8
17786.0	60.0	epochs	2.0	0.08	0.0	0.8
17876.0	60.0	epochs	1.0	0.04	270.0	0.8
17967.0	59.0	epochs	1.0	0.16	0.0	0.8
18057.0	60.0	epochs	2.0	0.08	180.0	0.8
