onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
444.0	60.0	epochs	0.5	0.04	270.0	0.8
534.0	60.0	epochs	1.0	0.02	180.0	0.8
625.0	59.0	epochs	4.0	0.04	90.0	0.8
715.0	60.0	epochs	4.0	0.02	180.0	0.8
805.0	60.0	epochs	4.0	0.02	0.0	0.8
896.0	59.0	epochs	8.0	0.16	270.0	0.8
986.0	60.0	epochs	2.0	0.16	90.0	0.8
1076.0	60.0	epochs	2.0	0.16	180.0	0.8
1167.0	59.0	epochs	1.0	0.16	90.0	0.8
1257.0	60.0	epochs	2.0	0.08	0.0	0.8
1347.0	60.0	epochs	0.5	0.32	0.0	0.8
1438.0	59.0	epochs	2.0	0.32	90.0	0.8
1528.0	60.0	epochs	1.0	0.04	0.0	0.8
1618.0	60.0	epochs	4.0	0.02	180.0	0.8
1709.0	59.0	epochs	0.5	0.16	0.0	0.8
1799.0	60.0	epochs	1.0	0.16	0.0	0.8
1889.0	60.0	epochs	4.0	0.04	180.0	0.8
1980.0	59.0	epochs	1.0	0.32	270.0	0.8
2070.0	60.0	epochs	0.5	0.32	90.0	0.8
2160.0	60.0	epochs	8.0	0.02	90.0	0.8
2250.0	60.0	epochs	8.0	0.16	270.0	0.8
2341.0	59.0	epochs	2.0	0.04	270.0	0.8
2431.0	60.0	epochs	8.0	0.32	180.0	0.8
2521.0	60.0	epochs	4.0	0.16	270.0	0.8
2612.0	59.0	epochs	2.0	0.32	90.0	0.8
2702.0	60.0	epochs	0.5	0.04	180.0	0.8
2792.0	60.0	epochs	8.0	0.32	90.0	0.8
2883.0	59.0	epochs	1.0	0.32	270.0	0.8
2973.0	60.0	epochs	8.0	0.08	90.0	0.8
3063.0	60.0	epochs	2.0	0.04	0.0	0.8
3154.0	59.0	epochs	1.0	0.32	180.0	0.8
3244.0	60.0	epochs	2.0	0.16	90.0	0.8
3334.0	60.0	epochs	0.5	0.04	270.0	0.8
3425.0	59.0	epochs	0.5	0.32	270.0	0.8
3515.0	60.0	epochs	4.0	0.02	270.0	0.8
3605.0	60.0	epochs	8.0	0.04	90.0	0.8
3695.0	60.0	epochs	0.5	0.04	270.0	0.8
3786.0	60.0	epochs	1.0	0.04	270.0	0.8
3876.0	60.0	epochs	1.0	0.04	90.0	0.8
3966.0	60.0	epochs	4.0	0.04	270.0	0.8
4057.0	59.0	epochs	0.5	0.16	90.0	0.8
4147.0	60.0	epochs	0.5	0.04	270.0	0.8
4237.0	60.0	epochs	4.0	0.16	270.0	0.8
4328.0	59.0	epochs	0.5	0.08	270.0	0.8
4418.0	60.0	epochs	0.5	0.16	90.0	0.8
4508.0	60.0	epochs	8.0	0.02	270.0	0.8
4599.0	59.0	epochs	0.5	0.32	180.0	0.8
4689.0	60.0	epochs	8.0	0.04	180.0	0.8
4779.0	60.0	epochs	8.0	0.16	0.0	0.8
4870.0	59.0	epochs	8.0	0.02	0.0	0.8
4960.0	60.0	epochs	2.0	0.16	270.0	0.8
5050.0	60.0	epochs	4.0	0.02	0.0	0.8
5141.0	59.0	epochs	8.0	0.08	270.0	0.8
5231.0	60.0	epochs	4.0	0.02	270.0	0.8
5321.0	60.0	epochs	8.0	0.16	180.0	0.8
5411.0	60.0	epochs	4.0	0.04	0.0	0.8
5502.0	60.0	epochs	2.0	0.08	90.0	0.8
5592.0	60.0	epochs	8.0	0.08	180.0	0.8
5682.0	60.0	epochs	2.0	0.02	270.0	0.8
5773.0	59.0	epochs	2.0	0.32	270.0	0.8
5863.0	60.0	epochs	4.0	0.32	180.0	0.8
5953.0	60.0	epochs	8.0	0.08	90.0	0.8
6044.0	59.0	epochs	1.0	0.02	180.0	0.8
6134.0	60.0	epochs	8.0	0.08	270.0	0.8
6224.0	60.0	epochs				
6315.0	59.0	epochs	4.0	0.32	0.0	0.8
6405.0	60.0	epochs	4.0	0.32	90.0	0.8
6495.0	60.0	epochs	2.0	0.02	270.0	0.8
6586.0	59.0	epochs	4.0	0.04	180.0	0.8
6676.0	60.0	epochs	1.0	0.16	90.0	0.8
6766.0	60.0	epochs	8.0	0.04	270.0	0.8
6857.0	59.0	epochs	0.5	0.02	180.0	0.8
6947.0	60.0	epochs	0.5	0.04	270.0	0.8
7037.0	60.0	epochs	1.0	0.32	180.0	0.8
7127.0	60.0	epochs	1.0	0.04	0.0	0.8
7218.0	59.0	epochs	4.0	0.08	180.0	0.8
7308.0	60.0	epochs	1.0	0.08	270.0	0.8
7398.0	60.0	epochs	1.0	0.02	90.0	0.8
7489.0	59.0	epochs	4.0	0.02	180.0	0.8
7579.0	60.0	epochs	2.0	0.02	180.0	0.8
7669.0	60.0	epochs	2.0	0.08	90.0	0.8
7760.0	59.0	epochs	4.0	0.04	180.0	0.8
7850.0	60.0	epochs	4.0	0.08	180.0	0.8
7940.0	60.0	epochs	2.0	0.16	90.0	0.8
