onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
436.0	60.0	epochs	0.5	0.16	270.0	0.8
526.0	60.0	epochs	2.0	0.02	270.0	0.8
617.0	60.0	epochs	8.0	0.16	0.0	0.8
707.0	60.0	epochs	0.5	0.02	90.0	0.8
798.0	60.0	epochs	0.5	0.08	270.0	0.8
888.0	60.0	epochs	1.0	0.04	270.0	0.8
979.0	60.0	epochs	2.0	0.16	180.0	0.8
1069.0	60.0	epochs	2.0	0.04	180.0	0.8
1160.0	60.0	epochs	4.0	0.08	90.0	0.8
1250.0	60.0	epochs	0.5	0.04	270.0	0.8
1341.0	60.0	epochs	1.0	0.16	90.0	0.8
1431.0	60.0	epochs	8.0	0.02	270.0	0.8
1522.0	60.0	epochs	1.0	0.04	0.0	0.8
1612.0	60.0	epochs	4.0	0.02	270.0	0.8
1703.0	60.0	epochs	8.0	0.02	180.0	0.8
1794.0	59.0	epochs	8.0	0.08	180.0	0.8
1884.0	60.0	epochs	0.5	0.08	0.0	0.8
1975.0	59.0	epochs	0.5	0.02	90.0	0.8
2065.0	60.0	epochs	8.0	0.16	90.0	0.8
2156.0	59.0	epochs	1.0	0.32	180.0	0.8
2246.0	60.0	epochs	2.0	0.32	270.0	0.8
2337.0	59.0	epochs	0.5	0.32	90.0	0.8
2427.0	60.0	epochs	8.0	0.08	90.0	0.8
2518.0	59.0	epochs	8.0	0.16	180.0	0.8
2608.0	60.0	epochs	4.0	0.04	270.0	0.8
2699.0	59.0	epochs	1.0	0.32	0.0	0.8
2789.0	60.0	epochs	1.0	0.02	90.0	0.8
2880.0	60.0	epochs	8.0	0.16	270.0	0.8
2970.0	60.0	epochs	2.0	0.02	180.0	0.8
3061.0	60.0	epochs	8.0	0.08	270.0	0.8
3151.0	60.0	epochs				
3242.0	60.0	epochs	4.0	0.32	0.0	0.8
3332.0	60.0	epochs	1.0	0.32	270.0	0.8
3423.0	60.0	epochs	1.0	0.04	90.0	0.8
3513.0	60.0	epochs	2.0	0.32	180.0	0.8
3604.0	60.0	epochs	0.5	0.08	270.0	0.8
3694.0	60.0	epochs	4.0	0.16	0.0	0.8
3785.0	60.0	epochs	0.5	0.04	180.0	0.8
3875.0	60.0	epochs	0.5	0.04	90.0	0.8
3966.0	60.0	epochs	8.0	0.02	180.0	0.8
4056.0	60.0	epochs	4.0	0.32	180.0	0.8
4147.0	60.0	epochs	0.5	0.16	90.0	0.8
4237.0	60.0	epochs	2.0	0.02	90.0	0.8
4328.0	60.0	epochs	8.0	0.32	90.0	0.8
4418.0	60.0	epochs	4.0	0.32	90.0	0.8
4509.0	60.0	epochs	4.0	0.16	0.0	0.8
4599.0	60.0	epochs	2.0	0.16	90.0	0.8
4690.0	60.0	epochs	0.5	0.02	180.0	0.8
4780.0	60.0	epochs	0.5	0.08	90.0	0.8
4871.0	60.0	epochs	1.0	0.32	0.0	0.8
4961.0	60.0	epochs	0.5	0.32	180.0	0.8
5052.0	60.0	epochs	2.0	0.02	180.0	0.8
5143.0	59.0	epochs	1.0	0.32	0.0	0.8
5233.0	60.0	epochs	2.0	0.16	0.0	0.8
5324.0	59.0	epochs	1.0	0.04	90.0	0.8
5414.0	60.0	epochs	2.0	0.16	0.0	0.8
5505.0	59.0	epochs	0.5	0.02	0.0	0.8
5595.0	60.0	epochs	1.0	0.04	180.0	0.8
5686.0	59.0	epochs	4.0	0.08	0.0	0.8
5776.0	60.0	epochs	2.0	0.04	180.0	0.8
5867.0	59.0	epochs	4.0	0.08	270.0	0.8
5957.0	60.0	epochs	4.0	0.02	180.0	0.8
6048.0	59.0	epochs	0.5	0.08	90.0	0.8
6138.0	60.0	epochs	2.0	0.32	180.0	0.8
6229.0	60.0	epochs	2.0	0.16	180.0	0.8
6319.0	60.0	epochs	1.0	0.16	0.0	0.8
6410.0	60.0	epochs	4.0	0.04	90.0	0.8
6500.0	60.0	epochs	8.0	0.16	270.0	0.8
6591.0	60.0	epochs	1.0	0.02	270.0	0.8
6681.0	60.0	epochs	0.5	0.32	0.0	0.8
6772.0	60.0	epochs	8.0	0.02	270.0	0.8
6862.0	60.0	epochs	8.0	0.16	90.0	0.8
6953.0	60.0	epochs	0.5	0.16	0.0	0.8
7043.0	60.0	epochs	0.5	0.04	90.0	0.8
7134.0	60.0	epochs	0.5	0.16	270.0	0.8
7224.0	60.0	epochs	8.0	0.08	180.0	0.8
7315.0	60.0	epochs	2.0	0.08	90.0	0.8
7405.0	60.0	epochs	8.0	0.32	0.0	0.8
7496.0	60.0	epochs	4.0	0.32	270.0	0.8
7586.0	60.0	epochs	0.5	0.08	0.0	0.8
7677.0	60.0	epochs	0.5	0.16	270.0	0.8
7767.0	60.0	epochs	1.0	0.16	180.0	0.8
7858.0	60.0	epochs	4.0	0.32	90.0	0.8
7948.0	60.0	epochs	1.0	0.32	270.0	0.8
8039.0	60.0	epochs	4.0	0.16	0.0	0.8
8129.0	60.0	epochs	0.5	0.08	0.0	0.8
8220.0	60.0	epochs	8.0	0.04	180.0	0.8
8310.0	60.0	epochs	0.5	0.16	180.0	0.8
8401.0	60.0	epochs	0.5	0.08	90.0	0.8
8491.0	60.0	epochs	1.0	0.16	90.0	0.8
8582.0	60.0	epochs	2.0	0.02	90.0	0.8
8673.0	59.0	epochs	1.0	0.02	270.0	0.8
8763.0	60.0	epochs	1.0	0.04	0.0	0.8
8854.0	59.0	epochs	1.0	0.16	90.0	0.8
8944.0	60.0	epochs	0.5	0.04	270.0	0.8
9035.0	59.0	epochs	4.0	0.02	180.0	0.8
9125.0	60.0	epochs	1.0	0.04	180.0	0.8
9216.0	59.0	epochs	1.0	0.16	270.0	0.8
9306.0	60.0	epochs	4.0	0.04	270.0	0.8
9397.0	59.0	epochs	4.0	0.08	0.0	0.8
9487.0	60.0	epochs	8.0	0.32	0.0	0.8
9578.0	59.0	epochs	0.5	0.08	90.0	0.8
9668.0	60.0	epochs	8.0	0.16	180.0	0.8
9759.0	60.0	epochs	4.0	0.16	270.0	0.8
9849.0	60.0	epochs	2.0	0.08	270.0	0.8
9940.0	60.0	epochs	2.0	0.02	180.0	0.8
10030.0	60.0	epochs	2.0	0.02	270.0	0.8
10121.0	60.0	epochs	2.0	0.32	180.0	0.8
10211.0	60.0	epochs	8.0	0.32	270.0	0.8
10302.0	60.0	epochs	2.0	0.16	0.0	0.8
10392.0	60.0	epochs	0.5	0.32	90.0	0.8
10483.0	60.0	epochs	2.0	0.08	90.0	0.8
10573.0	60.0	epochs	8.0	0.16	180.0	0.8
10664.0	60.0	epochs	4.0	0.04	0.0	0.8
10754.0	60.0	epochs	0.5	0.32	180.0	0.8
10845.0	60.0	epochs	2.0	0.08	270.0	0.8
10935.0	60.0	epochs	4.0	0.32	0.0	0.8
11026.0	60.0	epochs	2.0	0.16	90.0	0.8
11116.0	60.0	epochs	2.0	0.16	180.0	0.8
11207.0	60.0	epochs	8.0	0.32	270.0	0.8
