onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
437.0	60.0	epochs	4.0	0.02	90.0	0.8
527.0	60.0	epochs	4.0	0.02	180.0	0.8
618.0	60.0	epochs	1.0	0.16	180.0	0.8
708.0	60.0	epochs	8.0	0.02	270.0	0.8
799.0	60.0	epochs	4.0	0.02	0.0	0.8
889.0	60.0	epochs	2.0	0.02	90.0	0.8
980.0	60.0	epochs	1.0	0.16	180.0	0.8
1070.0	60.0	epochs	8.0	0.08	180.0	0.8
1161.0	60.0	epochs	1.0	0.16	180.0	0.8
1251.0	60.0	epochs	4.0	0.04	90.0	0.8
1342.0	60.0	epochs	2.0	0.02	90.0	0.8
1432.0	60.0	epochs	0.5	0.08	0.0	0.8
1523.0	60.0	epochs	8.0	0.32	90.0	0.8
1614.0	59.0	epochs	8.0	0.32	90.0	0.8
1704.0	60.0	epochs	1.0	0.32	0.0	0.8
1795.0	59.0	epochs				
1885.0	60.0	epochs	4.0	0.08	90.0	0.8
1976.0	59.0	epochs	1.0	0.08	270.0	0.8
2066.0	60.0	epochs	0.5	0.32	180.0	0.8
2157.0	59.0	epochs	8.0	0.04	90.0	0.8
2247.0	60.0	epochs	4.0	0.04	90.0	0.8
2338.0	59.0	epochs	8.0	0.16	0.0	0.8
2428.0	60.0	epochs	0.5	0.08	180.0	0.8
2519.0	59.0	epochs	8.0	0.04	90.0	0.8
2609.0	60.0	epochs	1.0	0.04	90.0	0.8
2700.0	59.0	epochs	0.5	0.04	270.0	0.8
2790.0	60.0	epochs	2.0	0.16	90.0	0.8
2881.0	60.0	epochs	2.0	0.32	0.0	0.8
2971.0	60.0	epochs	1.0	0.16	270.0	0.8
3062.0	60.0	epochs	4.0	0.16	180.0	0.8
3152.0	60.0	epochs	2.0	0.08	0.0	0.8
3243.0	60.0	epochs	2.0	0.16	90.0	0.8
3333.0	60.0	epochs	4.0	0.04	90.0	0.8
3424.0	60.0	epochs	1.0	0.32	270.0	0.8
3514.0	60.0	epochs	2.0	0.02	270.0	0.8
3605.0	60.0	epochs	4.0	0.08	270.0	0.8
3695.0	60.0	epochs	2.0	0.02	90.0	0.8
3786.0	60.0	epochs	1.0	0.16	90.0	0.8
3876.0	60.0	epochs	2.0	0.32	90.0	0.8
3967.0	60.0	epochs	4.0	0.16	0.0	0.8
4057.0	60.0	epochs	0.5	0.02	180.0	0.8
4148.0	60.0	epochs	1.0	0.02	0.0	0.8
4238.0	60.0	epochs	4.0	0.32	270.0	0.8
4329.0	60.0	epochs	8.0	0.08	180.0	0.8
4419.0	60.0	epochs	4.0	0.04	90.0	0.8
