onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
447.0	60.0	epochs	1.0	0.02	270.0	0.8
537.0	60.0	epochs	1.0	0.08	90.0	0.8
628.0	60.0	epochs	0.5	0.04	270.0	0.8
718.0	60.0	epochs	4.0	0.02	270.0	0.8
808.0	60.0	epochs	0.5	0.02	270.0	0.8
899.0	59.0	epochs				
989.0	60.0	epochs	1.0	0.16	270.0	0.8
1079.0	60.0	epochs	2.0	0.08	180.0	0.8
1170.0	59.0	epochs				
1260.0	60.0	epochs	0.5	0.02	0.0	0.8
1350.0	60.0	epochs	0.5	0.02	270.0	0.8
1441.0	59.0	epochs	2.0	0.16	0.0	0.8
1531.0	60.0	epochs	8.0	0.08	90.0	0.8
1621.0	60.0	epochs	2.0	0.32	270.0	0.8
1712.0	59.0	epochs	0.5	0.02	0.0	0.8
1802.0	60.0	epochs	2.0	0.16	180.0	0.8
1892.0	60.0	epochs	0.5	0.32	90.0	0.8
1983.0	59.0	epochs	2.0	0.08	180.0	0.8
2073.0	60.0	epochs	2.0	0.04	180.0	0.8
2163.0	60.0	epochs				
2253.0	60.0	epochs	0.5	0.08	90.0	0.8
2344.0	59.0	epochs	4.0	0.32	270.0	0.8
2434.0	60.0	epochs	0.5	0.08	180.0	0.8
2524.0	60.0	epochs	1.0	0.02	0.0	0.8
2615.0	59.0	epochs	1.0	0.08	270.0	0.8
2705.0	60.0	epochs	2.0	0.02	90.0	0.8
2795.0	60.0	epochs	2.0	0.04	0.0	0.8
2886.0	59.0	epochs	8.0	0.08	0.0	0.8
2976.0	60.0	epochs	8.0	0.16	90.0	0.8
3066.0	60.0	epochs	1.0	0.16	270.0	0.8
3157.0	59.0	epochs	0.5	0.16	0.0	0.8
3247.0	60.0	epochs	8.0	0.08	0.0	0.8
3337.0	60.0	epochs	1.0	0.32	90.0	0.8
3428.0	59.0	epochs	2.0	0.04	0.0	0.8
3518.0	60.0	epochs	8.0	0.32	0.0	0.8
3608.0	60.0	epochs	2.0	0.04	90.0	0.8
3699.0	59.0	epochs	0.5	0.16	270.0	0.8
3789.0	60.0	epochs	0.5	0.08	270.0	0.8
3879.0	60.0	epochs	2.0	0.02	90.0	0.8
3969.0	60.0	epochs	4.0	0.02	90.0	0.8
4060.0	59.0	epochs	2.0	0.02	270.0	0.8
4150.0	60.0	epochs	4.0	0.02	270.0	0.8
4240.0	60.0	epochs	0.5	0.32	0.0	0.8
4331.0	59.0	epochs	1.0	0.04	180.0	0.8
4421.0	60.0	epochs	1.0	0.32	180.0	0.8
4511.0	60.0	epochs	0.5	0.32	0.0	0.8
4602.0	59.0	epochs	1.0	0.16	90.0	0.8
4692.0	60.0	epochs	0.5	0.32	90.0	0.8
4782.0	60.0	epochs	2.0	0.02	0.0	0.8
4873.0	59.0	epochs	8.0	0.16	90.0	0.8
4963.0	60.0	epochs	0.5	0.02	90.0	0.8
5053.0	60.0	epochs	4.0	0.32	0.0	0.8
5144.0	59.0	epochs	1.0	0.08	270.0	0.8
5234.0	60.0	epochs	2.0	0.02	0.0	0.8
5324.0	60.0	epochs	1.0	0.08	90.0	0.8
5415.0	59.0	epochs	1.0	0.04	270.0	0.8
5505.0	60.0	epochs	2.0	0.32	90.0	0.8
5595.0	60.0	epochs	0.5	0.04	90.0	0.8
5685.0	60.0	epochs	0.5	0.32	0.0	0.8
5776.0	59.0	epochs	0.5	0.16	270.0	0.8
5866.0	60.0	epochs	2.0	0.04	0.0	0.8
5956.0	60.0	epochs	2.0	0.16	270.0	0.8
6047.0	59.0	epochs	4.0	0.16	90.0	0.8
6137.0	60.0	epochs	1.0	0.02	90.0	0.8
6227.0	60.0	epochs	8.0	0.04	90.0	0.8
6318.0	59.0	epochs	8.0	0.08	180.0	0.8
6408.0	60.0	epochs	0.5	0.16	180.0	0.8
6498.0	60.0	epochs	4.0	0.02	90.0	0.8
6589.0	59.0	epochs	8.0	0.04	0.0	0.8
6679.0	60.0	epochs	0.5	0.04	90.0	0.8
6769.0	60.0	epochs	8.0	0.16	180.0	0.8
6860.0	59.0	epochs	2.0	0.02	90.0	0.8
6950.0	60.0	epochs	1.0	0.04	180.0	0.8
7040.0	60.0	epochs	4.0	0.16	0.0	0.8
7130.0	60.0	epochs	8.0	0.04	180.0	0.8
7221.0	60.0	epochs	0.5	0.16	90.0	0.8
7311.0	60.0	epochs	0.5	0.16	270.0	0.8
7401.0	60.0	epochs	8.0	0.32	270.0	0.8
7492.0	59.0	epochs	2.0	0.16	90.0	0.8
7582.0	60.0	epochs	8.0	0.32	0.0	0.8
7672.0	60.0	epochs	1.0	0.02	270.0	0.8
7763.0	59.0	epochs	0.5	0.16	0.0	0.8
7853.0	60.0	epochs	4.0	0.04	90.0	0.8
7943.0	60.0	epochs	8.0	0.04	180.0	0.8
8034.0	59.0	epochs	0.5	0.32	90.0	0.8
8124.0	60.0	epochs	1.0	0.08	270.0	0.8
8214.0	60.0	epochs	8.0	0.32	0.0	0.8
8305.0	59.0	epochs	2.0	0.04	0.0	0.8
8395.0	60.0	epochs	1.0	0.32	0.0	0.8
8485.0	60.0	epochs	4.0	0.08	90.0	0.8
8576.0	59.0	epochs	1.0	0.32	0.0	0.8
8666.0	60.0	epochs	2.0	0.32	90.0	0.8
8756.0	60.0	epochs	2.0	0.32	90.0	0.8
8846.0	60.0	epochs	4.0	0.08	180.0	0.8
8937.0	59.0	epochs	1.0	0.08	0.0	0.8
9027.0	60.0	epochs	4.0	0.08	270.0	0.8
9117.0	60.0	epochs	4.0	0.02	0.0	0.8
9208.0	59.0	epochs	8.0	0.08	270.0	0.8
9298.0	60.0	epochs	8.0	0.02	0.0	0.8
9388.0	60.0	epochs	0.5	0.08	0.0	0.8
9479.0	59.0	epochs	1.0	0.08	0.0	0.8
9569.0	60.0	epochs	8.0	0.16	270.0	0.8
9659.0	60.0	epochs	2.0	0.02	90.0	0.8
9750.0	59.0	epochs	0.5	0.02	90.0	0.8
9840.0	60.0	epochs	1.0	0.02	270.0	0.8
9930.0	60.0	epochs	0.5	0.04	0.0	0.8
10021.0	59.0	epochs	0.5	0.16	180.0	0.8
10111.0	60.0	epochs	1.0	0.04	90.0	0.8
10201.0	60.0	epochs	4.0	0.16	180.0	0.8
10291.0	60.0	epochs	8.0	0.04	270.0	0.8
10382.0	60.0	epochs	2.0	0.16	270.0	0.8
10472.0	60.0	epochs	4.0	0.04	90.0	0.8
10562.0	60.0	epochs	1.0	0.16	180.0	0.8
10653.0	59.0	epochs	2.0	0.16	0.0	0.8
10743.0	60.0	epochs	8.0	0.32	0.0	0.8
10833.0	60.0	epochs	1.0	0.08	0.0	0.8
10924.0	59.0	epochs	1.0	0.32	90.0	0.8
11014.0	60.0	epochs	2.0	0.04	0.0	0.8
11104.0	60.0	epochs	4.0	0.04	180.0	0.8
11195.0	59.0	epochs	0.5	0.16	180.0	0.8
11285.0	60.0	epochs	4.0	0.02	180.0	0.8
11375.0	60.0	epochs	0.5	0.32	180.0	0.8
11466.0	59.0	epochs	2.0	0.32	0.0	0.8
11556.0	60.0	epochs	2.0	0.08	270.0	0.8
11646.0	60.0	epochs	0.5	0.16	90.0	0.8
11737.0	59.0	epochs	4.0	0.32	180.0	0.8
11827.0	60.0	epochs	1.0	0.08	90.0	0.8
11917.0	60.0	epochs	8.0	0.04	90.0	0.8
12007.0	60.0	epochs	2.0	0.08	90.0	0.8
12098.0	59.0	epochs	0.5	0.02	90.0	0.8
12188.0	60.0	epochs	4.0	0.08	0.0	0.8
12278.0	60.0	epochs	2.0	0.08	90.0	0.8
12369.0	59.0	epochs	8.0	0.16	0.0	0.8
12459.0	60.0	epochs	4.0	0.08	270.0	0.8
12549.0	60.0	epochs	1.0	0.32	0.0	0.8
12640.0	59.0	epochs	1.0	0.08	180.0	0.8
12730.0	60.0	epochs	8.0	0.04	0.0	0.8
12820.0	60.0	epochs	8.0	0.02	270.0	0.8
12911.0	59.0	epochs	8.0	0.16	180.0	0.8
13001.0	60.0	epochs	4.0	0.32	0.0	0.8
13091.0	60.0	epochs	8.0	0.04	180.0	0.8
13182.0	59.0	epochs	8.0	0.32	90.0	0.8
13272.0	60.0	epochs	0.5	0.02	180.0	0.8
13362.0	60.0	epochs	1.0	0.32	180.0	0.8
13453.0	59.0	epochs	0.5	0.08	180.0	0.8
13543.0	60.0	epochs	1.0	0.02	90.0	0.8
13633.0	60.0	epochs	2.0	0.16	0.0	0.8
13723.0	60.0	epochs	4.0	0.16	90.0	0.8
13814.0	59.0	epochs	1.0	0.32	90.0	0.8
13904.0	60.0	epochs	8.0	0.08	270.0	0.8
13994.0	60.0	epochs	1.0	0.04	90.0	0.8
14085.0	59.0	epochs	8.0	0.32	180.0	0.8
14175.0	60.0	epochs	0.5	0.04	180.0	0.8
14265.0	60.0	epochs	2.0	0.04	180.0	0.8
14356.0	59.0	epochs	1.0	0.04	270.0	0.8
14446.0	60.0	epochs	1.0	0.08	270.0	0.8
14536.0	60.0	epochs	8.0	0.32	0.0	0.8
14627.0	59.0	epochs	4.0	0.08	270.0	0.8
14717.0	60.0	epochs	2.0	0.16	270.0	0.8
14807.0	60.0	epochs	1.0	0.08	270.0	0.8
14898.0	59.0	epochs	2.0	0.02	90.0	0.8
14988.0	60.0	epochs	0.5	0.02	90.0	0.8
15078.0	60.0	epochs	0.5	0.04	0.0	0.8
15168.0	60.0	epochs	0.5	0.02	180.0	0.8
15259.0	60.0	epochs	8.0	0.02	0.0	0.8
15349.0	60.0	epochs	4.0	0.02	90.0	0.8
15439.0	60.0	epochs	1.0	0.16	270.0	0.8
15530.0	59.0	epochs	1.0	0.32	0.0	0.8
15620.0	60.0	epochs	8.0	0.32	0.0	0.8
15710.0	60.0	epochs	0.5	0.08	270.0	0.8
15801.0	59.0	epochs	4.0	0.02	180.0	0.8
15891.0	60.0	epochs	2.0	0.32	90.0	0.8
15981.0	60.0	epochs	0.5	0.02	90.0	0.8
16072.0	59.0	epochs	8.0	0.16	270.0	0.8
16162.0	60.0	epochs	1.0	0.04	180.0	0.8
16252.0	60.0	epochs	2.0	0.04	90.0	0.8
16343.0	59.0	epochs	2.0	0.16	270.0	0.8
16433.0	60.0	epochs	2.0	0.32	180.0	0.8
16523.0	60.0	epochs	2.0	0.32	270.0	0.8
16614.0	59.0	epochs	0.5	0.16	90.0	0.8
16704.0	60.0	epochs	1.0	0.04	270.0	0.8
16794.0	60.0	epochs	2.0	0.16	180.0	0.8
16884.0	60.0	epochs	0.5	0.08	270.0	0.8
16975.0	59.0	epochs	8.0	0.04	0.0	0.8
17065.0	60.0	epochs	0.5	0.04	180.0	0.8
17155.0	60.0	epochs	8.0	0.04	180.0	0.8
17246.0	59.0	epochs	1.0	0.16	180.0	0.8
17336.0	60.0	epochs	1.0	0.16	0.0	0.8
17426.0	60.0	epochs	8.0	0.08	0.0	0.8
17517.0	59.0	epochs	0.5	0.08	0.0	0.8
17607.0	60.0	epochs	8.0	0.08	180.0	0.8
17697.0	60.0	epochs	2.0	0.04	90.0	0.8
17788.0	59.0	epochs	8.0	0.08	180.0	0.8
17878.0	60.0	epochs	8.0	0.04	270.0	0.8
17968.0	60.0	epochs	4.0	0.08	90.0	0.8
18059.0	59.0	epochs	0.5	0.08	90.0	0.8
18149.0	60.0	epochs	4.0	0.32	90.0	0.8
18239.0	60.0	epochs	4.0	0.16	0.0	0.8
18329.0	60.0	epochs	8.0	0.02	0.0	0.8
18420.0	60.0	epochs	1.0	0.16	270.0	0.8
18510.0	60.0	epochs	8.0	0.16	270.0	0.8
18600.0	60.0	epochs	2.0	0.02	180.0	0.8
18691.0	59.0	epochs	0.5	0.08	270.0	0.8
18781.0	60.0	epochs	4.0	0.32	270.0	0.8
18871.0	60.0	epochs	2.0	0.32	90.0	0.8
